,Name,Country,Age,Role,Batting style,Bowling style,Test Matches,ODI Matches,T20 Matches,Ipl Matches,Test Innings,ODI Innings,T20 Innings,IPL Innings,Test Runs,ODI Runs,T20 Runs,IPL Runs,Test Balls,ODI Balls,T20 Balls,IPL Balls,Test Highest,ODI Highest,T20 Highest,IPL Highest,Test Average,ODI Average,T20 Average,IPL Average,Test Strikerate,ODI Strikerate,T20 Strikerate,IPL Strikerate,Test Fours,ODI Fours,T20 Fours,IPL Fours,Test Sixes,ODI Sixes,T20 Sixes,IPL Sixes,Test Ducks,ODI Ducks,T20 Ducks,IPL Ducks,Test 50s,ODI 50S,T20 50s,IPL 50s,Test 100s,ODI 100s,T20 100s,IPL 100s,Test 200s,ODI 200s,T20 200s,IPL 200s,Test bowl balls,Test bowl runs,Test Maidens,Test Wickets,Test Economy,ODI bowl balls,ODI bowl runs,ODI Maidens,ODI Wickets,ODI Economy,T20 bowl balls,T20 bowl runs,T20 Maidens,T20 Wickets,T20 Economy,IPL bowl balls,IPL bowl runs,IPL Maidens,IPL Wickets,IPL Economy
491,Kinchit Shah,"Hong Kong, China",30,Batsman ,Left Handed Bat ,Right-arm offbreak,0,10,54,0,0,10,49,0,0,140,733,0,0,238,691,0,0,34,79,0,0,14,17.88,0,0,58.83,106.08,0,0,12,58,0,0,2,17,0,0,2,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,79,0,7,4.31,468,583,2,17,7.47,0,0,0,0,0
492,Aizaz Khan,"Hong Kong, China",33,Bowling Allrounder ,Right Handed Bat ,Right-arm fast-medium,0,19,103,0,0,15,88,0,0,260,1083,0,0,367,1003,0,0,44,48,0,0,20,15.47,0,0,70.85,107.98,0,0,16,75,0,0,8,28,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,681,2,16,5.57,1709,2260,4,105,7.93,0,0,0,0,0
493,Nizakat Khan,"Hong Kong, China",34,Batting Allrounder ,Right Handed Bat ,Right-arm legbreak,0,20,128,0,0,20,124,0,0,675,2529,0,0,814,2083,0,0,94,81,0,0,33.75,21.8,0,0,82.93,121.42,0,0,72,209,0,0,16,83,0,0,0,9,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,119,1,4,4.92,209,216,1,11,6.2,0,0,0,0,0
494,Tanwir Afzal,"Hong Kong, China",38,Bowling Allrounder ,Right Handed Bat ,Right-arm fast-medium,0,20,21,0,0,19,18,0,0,292,219,0,0,255,173,0,0,73,56,0,0,18.25,13.69,0,0,114.51,126.59,0,0,18,9,0,0,18,15,0,0,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,600,14,19,4.23,426,509,2,19,7.17,0,0,0,0,0
495,Anshuman Rath,"Hong Kong, China",28,WK-Batsman ,Left Handed Bat ,Left-arm orthodox,0,18,85,0,0,18,84,0,0,827,2394,0,0,1079,1886,0,0,143,140,0,0,51.69,32.35,0,0,76.65,126.94,0,0,71,241,0,0,9,57,0,0,1,3,0,0,7,12,0,0,1,2,0,0,0,0,0,0,0,0,0,0,337,167,8,14,2.97,250,334,0,7,8.02,0,0,0,0,0
496,Jamie Atkinson,"Hong Kong, China",36,WK-Batsman ,Right Handed Bat,,0,9,29,0,0,9,27,0,0,251,448,0,0,399,391,0,0,60,68,0,0,27.89,19.48,0,0,62.91,114.58,0,0,24,46,0,0,6,14,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,Christopher Carter,"Hong Kong, China",29,WK-Batsman ,Right Handed Bat,,0,11,10,0,0,9,5,0,0,114,55,0,0,186,63,0,0,43,17,0,0,12.67,13.75,0,0,61.30,87.31,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Shahid Wasif,"Hong Kong, China",29,WK-Batsman ,Right Handed Bat ,Right-arm offbreak,0,10,39,0,0,7,31,0,0,81,554,0,0,163,477,0,0,45,59,0,0,11.57,25.18,0,0,49.70,116.15,0,0,6,43,0,0,3,22,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Ehsan Khan,"Hong Kong, China",41,Bowler ,Right Handed Bat ,Right-arm offbreak,0,15,111,0,0,12,59,0,0,102,423,0,0,228,402,0,0,27,42,0,0,11.33,14.1,0,0,44.74,105.23,0,0,8,24,0,0,0,16,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,594,7,29,4.42,2361,2433,6,152,6.18,0,0,0,0,0
500,Nadeem Ahmed,"Hong Kong, China",38,Bowler ,Right Handed Bat ,Left-arm orthodox,0,25,24,0,0,16,9,0,0,67,34,0,0,151,55,0,0,14,10,0,0,5.58,6.8,0,0,44.38,61.82,0,0,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,931,17,38,4.21,495,546,3,25,6.62,0,0,0,0,0
501,Tanveer Ahmed,"Hong Kong, China",28,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,6,5,0,0,4,2,0,0,4,7,0,0,11,11,0,0,2,7,0,0,0,7,0,0,36.37,63.64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,208,1,5,5.45,81,116,0,3,8.59,0,0,0,0,0
502,Trevin Bastiampillai,Canada,40,Batsman ,Right Handed Bat ,Right-arm offbreak,0,13,2,0,0,13,0,0,0,175,0,0,0,301,0,0,0,49,0,0,0,13.46,0,0,0,58.14,0,0,0,26,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,0,0,7.75,0,0,0,0,0,0,0,0,0,0
503,John Davison,Canada,56,Batsman ,Right Handed Bat ,Right-arm offbreak,0,32,5,0,0,32,5,0,0,799,44,0,0,767,40,0,0,111,19,0,0,26.63,8.8,0,0,104.18,110.00,0,0,93,2,0,0,20,3,0,0,5,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1435,1067,17,36,4.46,108,91,0,4,5.06,0,0,0,0,0
504,Tyson Gordon,Canada,44,Batsman ,Left Handed Bat ,Right-arm medium,0,5,3,0,0,5,3,0,0,27,32,0,0,59,37,0,0,9,23,0,0,5.4,10.67,0,0,45.77,86.49,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,10,0,0,0,0,0,0,0,0,0,0
505,Ruvindu Gunasekera,Canada,35,Batsman ,Left Handed Bat ,Right-arm legbreak,0,19,8,0,0,19,8,0,0,455,202,0,0,679,188,0,0,72,65,0,0,23.95,25.25,0,0,67.02,107.45,0,0,40,23,0,0,11,4,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,Jimmy Hansra,Canada,41,Batsman ,Right Handed Bat ,Right-arm offbreak,0,24,8,0,0,22,8,0,0,421,82,0,0,725,85,0,0,70,30,0,0,23.39,13.67,0,0,58.07,96.48,0,0,27,4,0,0,8,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,413,1,7,5.57,90,94,0,7,6.27,0,0,0,0,0
507,Zunaed Siddique,Bangladesh,38,Batsman ,Left Handed Bat ,Right-arm offbreak,19,55,7,0,37,54,7,0,969,1201,160,0,2341,1783,108,0,106,100,71,0,26.19,22.66,22.86,0,41.40,67.36,148.15,0,123,118,16,0,1,7,7,0,2,6,1,0,7,6,1,0,1,1,0,0,0,0,0,0,18,11,0,0,3.67,66,63,0,0,5.73,0,0,0,0,0,0,0,0,0,0
508,Nitish Kumar,United States of America,32,Batsman ,Right Handed Bat ,Right-arm offbreak,0,16,36,0,0,15,32,0,0,217,711,0,0,397,567,0,0,38,83,0,0,15.5,25.39,0,0,54.66,125.40,0,0,18,51,0,0,0,25,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,63,0,2,5.73,162,162,0,8,6,0,0,0,0,0
509,Hiral Patel,Canada,35,Batsman ,Right Handed Bat ,Left-arm orthodox,0,23,15,0,0,23,15,0,0,468,294,0,0,584,285,0,0,62,88,0,0,21.27,21,0,0,80.14,103.16,0,0,56,28,0,0,8,3,0,0,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,351,3,10,5.15,71,97,0,2,8.2,0,0,0,0,0
510,Rizwan Cheema,Canada,48,Batsman ,Right Handed Bat ,Right-arm medium,0,33,24,0,0,32,24,0,0,764,389,0,0,685,314,0,0,94,72,0,0,24.65,16.91,0,0,111.54,123.89,0,0,92,33,0,0,35,28,0,0,3,5,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,1095,11,32,4.94,300,382,1,9,7.64,0,0,0,0,0
511,Durand Soraine,Canada,43,Batsman ,Right Handed Bat ,Right-arm medium,0,4,0,0,0,4,0,0,0,14,0,0,0,20,0,0,0,6,0,0,0,3.5,0,0,0,70.00,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,95,0,3,5.04,0,0,0,0,0,0,0,0,0,0
512,Zubin Surkari,Canada,46,Batsman ,Right Handed Bat ,Right-arm medium,0,23,4,0,0,21,3,0,0,323,10,0,0,642,33,0,0,49,6,0,0,17.94,3.33,0,0,50.32,30.31,0,0,30,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,Usman Limbada,Canada,36,Batsman ,Right Handed Bat ,Right-arm fast-medium,0,11,7,0,0,11,3,0,0,189,53,0,0,284,41,0,0,50,21,0,0,18.9,53,0,0,66.55,129.27,0,0,19,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,Zahid Hussain,Canada,51,Batsman ,Left Handed Bat ,Left-arm orthodox,0,2,3,0,0,2,2,0,0,9,3,0,0,31,8,0,0,7,2,0,0,9,0,0,0,29.04,37.50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,94,1,2,4.7,57,47,0,3,4.95,0,0,0,0,0
515,Harvir Baidwan,Canada,39,Batting Allrounder ,Right Handed Bat ,Right-arm medium,0,32,17,0,0,22,11,0,0,220,54,0,0,339,52,0,0,33,21,0,0,14.67,6,0,0,64.90,103.85,0,0,13,4,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,1348,13,44,5.21,323,411,1,27,7.63,0,0,0,0,0
516,Damodar Daesrat,Canada,45,Batting Allrounder ,Right Handed Bat ,Right-arm offbreak,0,4,1,0,0,3,0,0,0,95,0,0,0,138,0,0,0,40,0,0,0,31.67,0,0,0,68.85,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,48,0,2,4,0,0,0,0,0,0,0,0,0,0
517,Rayyan Pathan,Canada,34,Batting Allrounder ,Right Handed Bat ,Right-arm fast-medium,0,1,14,0,0,1,14,0,0,2,477,0,0,9,303,0,0,2,107,0,0,2,39.75,0,0,22.23,157.43,0,0,0,51,0,0,0,21,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,50,0,2,8.33,12,24,0,0,12,0,0,0,0,0
518,Raza,Canada,40,Batting Allrounder ,Right Handed Bat ,Left-arm fast-medium,0,6,5,0,0,5,4,0,0,225,25,0,0,262,29,0,0,88,10,0,0,45,6.25,0,0,85.88,86.21,0,0,30,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,128,1,1,6.35,54,58,0,2,6.44,0,0,0,0,0
519,Ashish Bagai,Canada,44,WK-Batsman ,Right Handed Bat,,0,62,9,0,0,60,9,0,0,1964,284,0,0,2994,249,0,0,137,67,0,0,37.77,40.57,0,0,65.60,114.06,0,0,182,27,0,0,8,0,0,0,2,0,0,0,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,R A,Canada,36,WK-Batsman ,Right Handed Bat ,Right-arm offbreak,0,1,4,0,0,1,4,0,0,3,25,0,0,4,37,0,0,3,11,0,0,0,8.33,0,0,75.00,67.57,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,Hamza Tariq,Canada,36,WK-Batsman ,Right Handed Bat ,Right-arm medium,0,8,26,0,0,7,20,0,0,116,324,0,0,157,202,0,0,71,63,0,0,16.57,29.45,0,0,73.89,160.40,0,0,15,27,0,0,2,14,0,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,Darren Ramsammy,Canada,34,WK-Batsman ,Right Handed Bat,,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Zeeshan Siddiqi,Canada,49,WK-Batsman ,Right Handed Bat,,0,2,0,0,0,2,0,0,0,49,0,0,0,110,0,0,0,42,0,0,0,24.5,0,0,0,44.55,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Manny Aulakh,Canada,34,Bowler ,Right Handed Bat ,Right-arm medium,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,82,0,3,9.11,0,0,0,0,0
525,Abzal Dean,Canada,43,Bowler ,Left Handed Bat ,Right-arm offbreak,0,0,2,0,0,0,2,0,0,0,8,0,0,0,10,0,0,0,7,0,0,0,4,0,0,0,80.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,0,2,8,0,0,0,0,0
526,Parth Desai,Canada,35,Bowler ,Right Handed Bat ,Left-arm orthodox,0,6,1,0,0,4,0,0,0,3,0,0,0,16,0,0,0,3,0,0,0,1.5,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,223,1,5,5.31,18,30,0,0,10,0,0,0,0,0
527,Nikhil Dutta,Canada,31,Bowler ,Right Handed Bat ,Right-arm offbreak,0,7,25,0,0,6,7,0,0,126,80,0,0,202,49,0,0,56,27,0,0,31.5,26.67,0,0,62.38,163.27,0,0,7,5,0,0,5,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,206,2,4,4.29,493,549,1,25,6.68,0,0,0,0,0
528,Jeremy Gordon,Canada,39,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,12,17,0,0,9,3,0,0,23,4,0,0,50,8,0,0,7,2,0,0,5.75,4,0,0,46.00,50.00,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,483,5,19,5.29,326,407,0,20,7.49,0,0,0,0,0
529,Kenneth Kamyuka,Canada,44,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,4,6,0,0,0,0,0,0,0,0,0,0
530,Khurram Chohan,Canada,46,Bowler ,Right Handed Bat ,Right-arm fast,0,25,4,0,0,19,4,0,0,165,18,0,0,285,14,0,0,35,8,0,0,12.69,9,0,0,57.90,128.58,0,0,9,1,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,1029,11,36,5.21,73,106,0,1,8.71,0,0,0,0,0
531,Henry Osinde,Canada,47,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,42,11,0,0,28,6,0,0,64,31,0,0,130,34,0,0,21,17,0,0,4.27,7.75,0,0,49.24,91.18,0,0,5,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692,1389,25,45,4.93,210,250,0,10,7.14,0,0,0,0,0
