,Name,Country,Age,Role,Batting style,Bowling style,Test Matches,ODI Matches,T20 Matches,Ipl Matches,Test Innings,ODI Innings,T20 Innings,IPL Innings,Test Runs,ODI Runs,T20 Runs,IPL Runs,Test Balls,ODI Balls,T20 Balls,IPL Balls,Test Highest,ODI Highest,T20 Highest,IPL Highest,Test Average,ODI Average,T20 Average,IPL Average,Test Strikerate,ODI Strikerate,T20 Strikerate,IPL Strikerate,Test Fours,ODI Fours,T20 Fours,IPL Fours,Test Sixes,ODI Sixes,T20 Sixes,IPL Sixes,Test Ducks,ODI Ducks,T20 Ducks,IPL Ducks,Test 50s,ODI 50S,T20 50s,IPL 50s,Test 100s,ODI 100s,T20 100s,IPL 100s,Test 200s,ODI 200s,T20 200s,IPL 200s,Test bowl balls,Test bowl runs,Test Maidens,Test Wickets,Test Economy,ODI bowl balls,ODI bowl runs,ODI Maidens,ODI Wickets,ODI Economy,T20 bowl balls,T20 bowl runs,T20 Maidens,T20 Wickets,T20 Economy,IPL bowl balls,IPL bowl runs,IPL Maidens,IPL Wickets,IPL Economy
0,Virat Kohli,India,37,Batsman ,Right Handed Bat ,Right-arm medium,123,314,125,283,210,302,117,275,9230,14941,4188,9336,16608,15903,3056,6926,254,183,122,113,46.85,58.59,48.7,40.42,55.58,93.96,137.05,134.80,1027,1389,369,844,30,172,124,316,15,18,7,12,31,79,38,68,30,54,1,9,7,0,0,0,175,84,2,0,2.88,662,680,1,5,6.16,152,204,0,4,8.05,251,368,0,4,8.8
1,Rohit Sharma,India,39,Batsman ,Right Handed Bat ,Right-arm offbreak,67,288,159,281,116,280,151,276,4301,11895,4231,7329,7538,12784,3003,5514,212,264,121,109,40.58,48.95,31.34,29.79,57.06,93.05,140.90,132.92,473,1125,383,661,88,369,205,323,6,16,12,19,18,62,32,49,12,34,5,2,1,3,0,0,383,224,5,2,3.51,610,533,2,9,5.24,68,113,0,1,9.97,339,453,0,15,8.02
2,Shikhar Dhawan,India,40,Batsman ,Left Handed Bat ,Right-arm offbreak,34,167,68,222,58,164,66,221,2315,6793,1759,6768,3458,7436,1392,5324,190,143,92,106,40.61,44.11,27.92,35.07,66.95,91.36,126.37,127.13,316,842,191,768,12,79,50,152,4,5,2,12,5,39,11,51,7,17,0,2,0,0,0,0,54,18,2,0,2,0,0,0,0,0,0,0,0,0,0,48,66,0,4,8.25
3,Shubman Gill,India,27,Batsman ,Right Handed Bat ,Right-arm offbreak,43,67,36,134,77,66,36,131,3043,3379,869,4598,4956,3347,627,3236,269,208,126,129,42.86,59.28,28.03,40.33,61.41,100.96,138.60,142.09,342,395,98,446,47,69,26,152,5,1,2,4,9,20,3,32,11,9,1,5,1,1,0,0,19,9,0,0,2.84,18,25,0,0,8.33,0,0,0,0,0,0,0,0,0,0
4,Shreyas Iyer,India,31,Batsman ,Right Handed Bat ,Right-arm legbreak,14,82,62,146,24,76,58,145,811,3136,1423,4229,1287,3205,1030,3093,105,128,80,101,36.86,45.45,32.34,35.84,63.02,97.85,138.16,136.73,94,283,120,353,16,78,51,182,2,2,4,7,5,24,10,32,1,5,0,1,0,0,0,0,6,2,0,0,2,37,39,0,0,6.32,2,2,0,0,0,6,7,0,0,7
5,Manish Pandey,India,37,Batsman ,Right Handed Bat ,Right-arm medium,0,29,39,180,0,24,33,164,0,566,709,4012,0,625,562,3293,0,104,79,114,0,33.29,44.31,29.5,0,90.56,126.16,121.84,0,45,49,347,0,5,19,117,0,2,2,14,0,2,3,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Mayank Agarwal,India,35,Batsman ,Right Handed Bat ,Right-arm offbreak,21,5,0,131,36,5,0,125,1488,86,0,2760,2782,83,0,2064,243,32,0,106,41.33,17.2,0,23,53.49,103.62,0,133.73,189,12,0,274,28,1,0,100,1,0,0,7,6,0,0,13,4,0,0,1,2,0,0,0,0,0,0,0,0,6,10,0,0,10,0,0,0,0,0,0,0,0,0,0
7,Prithvi Shaw,India,26,Batsman ,Right Handed Bat ,Right-arm offbreak,5,6,1,79,9,6,1,79,339,189,0,1892,394,166,1,1283,134,49,0,99,42.38,31.5,0,23.95,86.05,113.86,0.00,147.47,48,32,0,238,2,2,0,61,1,0,1,7,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Cheteshwar Pujara,India,38,Batsman ,Right Handed Bat ,Right-arm legbreak,103,5,0,30,176,5,0,22,7195,51,0,390,16217,130,0,391,206,27,0,51,43.61,10.2,0,20.53,44.37,39.24,0,99.75,863,4,0,50,16,0,0,4,12,2,0,1,35,0,0,1,19,0,0,0,3,0,0,0,12,3,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ajinkya Rahane,India,38,Batsman ,Right Handed Bat ,Right-arm medium,85,90,20,212,144,87,20,197,5077,2962,375,5367,10256,3767,331,4273,188,111,61,105,38.46,35.26,20.83,30.15,49.51,78.64,113.30,125.61,579,293,32,539,35,33,6,141,10,6,2,15,26,24,1,35,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,5
10,Ruturaj Gaikwad,India,29,Batsman ,Right Handed Bat ,Right-arm offbreak,0,9,23,85,0,8,20,84,0,228,633,2839,0,254,441,2093,0,105,123,108,0,28.5,39.56,38.36,0,89.77,143.54,135.65,0,28,65,260,0,2,24,107,0,0,1,7,0,1,4,22,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Hardik Pandya,India,32,Batting Allrounder ,Right Handed Bat ,Right-arm fast-medium,11,94,138,162,18,68,109,150,532,1904,2288,2955,720,1717,1568,2020,108,92,71,91,31.29,32.83,28.25,27.88,73.89,110.90,145.92,146.29,68,141,168,228,12,76,126,155,2,4,4,6,4,11,9,10,1,0,0,0,0,0,0,0,937,528,19,17,3.38,3460,3231,16,91,5.6,2225,3093,5,114,8.34,1764,2751,0,82,9.36
12,Hanuma Vihari,India,32,Batting Allrounder ,Right Handed Bat ,Right-arm offbreak,16,0,0,24,28,0,0,23,839,0,0,284,1988,0,0,321,111,0,0,46,33.56,0,0,14.2,42.21,0,0,88.48,107,0,0,23,2,0,0,1,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,345,180,10,5,3.13,0,0,0,0,0,0,0,0,0,0,42,47,0,1,6.71
13,Ravindra Jadeja,India,37,Bowling Allrounder ,Left Handed Bat ,Left-arm orthodox,91,210,74,268,136,142,41,209,4160,2905,515,3526,7516,3396,405,2700,175,87,46,77,37.82,32.28,21.46,29.14,55.35,85.55,127.17,130.60,403,210,39,264,82,55,14,122,8,6,3,9,28,13,0,5,6,0,0,0,0,0,0,0,20856,9008,786,356,2.59,10404,8478,59,232,4.89,1356,1612,4,54,7.13,4254,5465,2,180,7.71
14,Shardul Thakur,India,34,Bowling Allrounder ,Right Handed Bat ,Right-arm fast-medium,13,47,25,114,21,25,6,45,377,329,69,349,630,313,38,263,67,50,22,68,18.85,17.32,23,11.63,59.85,105.12,181.58,132.70,46,31,5,32,9,9,4,13,3,1,2,8,4,1,0,1,0,0,0,0,0,0,0,0,1611,1024,36,33,3.81,1940,2014,10,65,6.23,506,772,0,33,9.15,2202,3514,3,119,9.57
15,Ravichandran Ashwin,India,39,Bowling Allrounder ,Right Handed Bat ,Right-arm offbreak,106,116,65,220,151,63,19,98,3503,707,184,833,6423,813,160,705,124,65,31,50,25.76,16.44,26.29,13.02,54.54,86.97,115.00,118.16,399,60,17,64,23,7,4,29,9,6,0,12,14,1,0,1,6,0,0,0,0,0,0,0,27246,12891,907,537,2.84,6303,5180,37,156,4.93,1452,1672,3,72,6.91,4710,5652,4,187,7.2
16,KL Rahul,India,34,WK-Batsman ,Right Handed Bat,,70,98,72,159,122,90,68,150,4288,3412,2265,5815,8230,3746,1628,4179,199,112,110,152,36.65,49.45,37.75,46.15,52.11,91.09,139.13,139.15,509,265,191,508,34,79,99,239,9,4,5,5,21,20,22,45,12,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Sanju Samson,India,31,WK-Batsman ,Right Handed Bat,,0,16,67,190,0,14,59,186,0,510,1442,5181,0,512,926,3671,0,108,111,119,0,56.67,26.7,31.59,0,99.61,155.73,141.14,0,34,121,432,0,22,86,243,0,0,8,12,0,3,6,27,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Wriddhiman Saha,India,41,WK-Batsman ,Right Handed Bat,,40,9,0,170,56,5,0,145,1353,41,0,2934,2973,56,0,2300,117,16,0,115,29.41,13.67,0,24.25,45.51,73.22,0,127.57,129,5,0,296,14,0,0,87,6,0,0,7,6,0,0,13,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Rishabh Pant,India,28,WK-Batsman ,Left Handed Bat,,52,31,76,139,90,27,66,136,3725,871,1209,3865,5024,820,949,2633,159,125,65,128,43.82,33.5,23.25,33.61,74.15,106.22,127.40,146.80,397,91,111,349,102,26,44,181,3,3,4,7,21,5,3,20,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mohammed Shami,India,36,Bowler ,Right Handed Bat ,Right-arm fast,64,108,25,132,89,49,5,36,750,225,7,115,1005,273,10,111,56,25,7,21,11.9,7.76,3.5,6.05,74.63,82.42,70.00,103.61,83,17,0,9,25,9,1,5,18,6,1,6,2,0,0,0,0,0,0,0,0,0,0,0,11515,6346,364,229,3.31,5326,4955,52,206,5.58,510,761,1,27,8.95,2912,4207,3,145,8.67
21,Jasprit Bumrah,India,32,Bowler ,Right Handed Bat ,Right-arm fast,52,91,96,158,78,27,12,33,348,111,12,75,843,172,18,86,34,20,7,16,6.57,9.25,2,9.38,41.29,64.54,66.67,87.21,38,13,2,6,11,2,0,1,28,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,10031,4631,395,234,2.77,4694,3585,57,151,4.58,2038,2214,12,122,6.52,3631,4442,7,187,7.34
22,Kuldeep Yadav,India,31,Bowler ,Left Handed Bat ,Left-arm wrist-spin,19,121,54,110,24,45,10,42,252,215,48,210,941,414,71,253,40,19,23,35,12.6,9.77,8,11.67,26.79,51.94,67.61,83.01,25,15,2,18,1,0,0,3,4,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3150,1869,65,80,3.56,6204,5247,31,194,5.07,1127,1306,2,95,6.95,2274,3130,1,112,8.26
23,Yuzvendra Chahal,India,36,Bowler ,Right Handed Bat ,Right-arm legbreak,0,72,80,188,0,14,6,20,0,77,6,37,0,141,13,86,0,18,3,8,0,8.56,3,5.29,0,54.61,46.16,43.03,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3739,3283,14,121,5.27,1764,2409,2,96,8.19,4037,5417,4,233,8.05
24,Navdeep Saini,India,33,Bowler ,Right Handed Bat ,Right-arm fast,2,8,11,34,3,5,3,7,8,107,12,33,27,137,11,37,5,45,11,12,4,53.5,0,8.25,29.63,78.11,109.10,89.19,1,9,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,172,5,4,4.11,420,481,0,6,6.87,197,235,1,13,7.16,676,1011,1,23,8.97
25,Umesh Yadav,India,38,Bowler ,Right Handed Bat ,Right-arm fast,57,75,9,148,68,24,2,52,460,79,22,208,883,134,21,201,31,18,20,24,11.22,7.9,22,9.9,52.10,58.96,104.77,103.49,42,8,2,16,24,1,0,9,9,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8979,5263,245,170,3.52,3558,3565,23,106,6.01,180,280,0,12,9.33,3050,4317,5,144,8.49
26,Mohammed Siraj,India,32,Bowler ,Right Handed Bat ,Right-arm fast,48,50,17,125,65,21,5,28,192,57,14,117,515,134,16,139,22,9,7,14,5.05,7.13,7,9.75,37.29,42.54,87.50,84.18,20,3,1,11,4,0,0,4,16,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7349,4267,221,144,3.48,2251,1926,34,76,5.13,372,481,2,17,7.76,2672,3911,5,128,8.78
27,Suryakumar Yadav,India,35,Batsman ,Right Handed Bat ,Right-arm offbreak,1,37,113,179,1,35,107,164,8,773,3272,4581,20,736,2008,3083,8,72,117,103,8,25.77,36.36,33.68,40.00,105.03,162.95,148.59,1,80,297,482,0,19,179,178,0,3,7,12,0,4,25,31,0,0,4,2,0,0,0,0,0,0,0,0,0,12,17,0,0,8.5,6,5,0,2,5,6,8,0,0,8
28,Nitish Kumar,India,23,Batting Allrounder ,Right Handed Bat ,Right-arm fast-medium,10,6,5,42,16,4,3,35,396,100,90,787,691,99,50,541,114,53,74,76,26.4,33.33,45,29.15,57.31,101.02,180.00,145.48,40,3,4,50,10,5,8,46,2,0,1,1,0,1,1,3,1,0,0,0,0,0,0,0,516,366,5,8,4.26,151,179,0,2,7.11,66,101,0,3,9.18,325,577,0,13,10.65
29,Arshdeep Singh,India,27,Bowler ,Left Handed Bat ,Left-arm fast-medium,0,18,92,96,0,12,33,15,0,74,103,32,0,62,104,47,0,18,12,10,0,8.22,6.06,5.33,0,119.36,99.04,68.09,0,7,9,4,0,3,3,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,755,5,30,5.49,1927,2734,4,138,8.51,2032,3111,2,111,9.19
30,Shivam Dube,India,33,Batting Allrounder ,Left Handed Bat ,Right-arm medium,0,6,74,92,0,5,56,87,0,43,1127,2129,0,49,741,1464,0,25,66,95,0,8.6,29.66,31.31,0,87.76,152.10,145.43,0,3,74,132,0,2,68,137,0,2,2,3,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,179,165,0,3,5.53,618,1010,0,38,9.81,154,277,0,6,10.79
31,Abhishek Sharma,India,26,Batting Allrounder ,Left Handed Bat ,Left-arm orthodox,0,0,57,92,0,0,56,89,0,0,1711,2378,0,0,902,1389,0,0,135,141,0,0,31.69,29.36,0,0,189.69,171.21,0,0,171,224,0,0,111,144,0,0,7,6,0,0,12,13,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,282,0,10,8.46,365,550,0,11,9.04
32,Yashasvi Jaiswal,India,24,Batsman ,Left Handed Bat ,Right-arm legbreak,31,6,23,82,57,6,22,82,2612,285,723,2593,3928,292,440,1697,214,116,100,124,47.49,71.25,36.15,33.68,66.50,97.61,164.32,152.80,331,34,82,310,45,7,38,110,7,0,2,4,13,0,5,18,7,2,1,2,2,0,0,0,24,27,0,0,6.75,6,3,0,0,3,6,11,0,0,11,1,6,0,0,0
33,Axar Patel,India,32,Bowling Allrounder ,Left Handed Bat ,Left-arm orthodox,15,74,102,176,24,52,64,135,688,918,750,2089,1297,995,575,1562,84,64,65,66,34.4,23.54,16.67,21.54,53.05,92.27,130.44,133.74,73,58,52,146,20,32,29,100,1,3,4,9,4,4,1,4,0,0,0,0,0,0,0,0,2660,1121,98,57,2.53,3460,2619,24,80,4.54,1840,2322,4,102,7.57,3567,4406,2,139,7.41
34,Rinku Singh,India,28,Batsman ,Left Handed Bat ,Right-arm offbreak,0,2,48,72,0,2,35,62,0,55,702,1394,0,41,449,955,0,38,69,83,0,27.5,36.95,34,0,134.15,156.35,145.97,0,5,57,114,0,3,40,67,0,0,2,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,2,16,19,0,3,7.13,0,0,0,0,0
35,Washington Sundar,India,26,Bowling Allrounder ,Left Handed Bat ,Right-arm offbreak,18,34,62,83,30,23,27,61,937,445,279,888,1998,539,220,656,101,52,50,55,44.62,22.25,15.5,21.14,46.90,82.57,126.82,135.37,80,30,21,82,20,12,14,28,3,0,4,2,6,2,1,3,1,0,0,0,0,0,0,0,2294,1244,46,41,3.25,1134,916,7,30,4.85,1055,1252,1,51,7.12,1174,1520,1,40,7.77
36,Aaron Finch,Australia,39,Batsman ,Right Handed Bat ,Left-arm orthodox,5,146,103,92,10,142,103,90,278,5406,3120,2091,618,6163,2189,1631,62,153,172,88,27.8,38.89,34.29,24.89,44.99,87.72,142.54,128.21,30,533,309,214,1,129,125,78,1,16,8,8,2,30,19,15,0,17,2,0,0,0,0,0,12,8,0,0,4,284,259,0,4,5.47,12,27,0,0,13.5,43,67,0,1,9.35
37,Steven Smith,Australia,37,Batsman ,Right Handed Bat ,Right-arm legbreak,125,170,67,103,223,154,55,93,10920,5800,1094,2485,20237,6669,872,1940,239,164,90,101,56,43.28,24.86,34.51,53.97,86.97,125.46,128.10,1190,521,96,225,68,58,26,60,11,8,1,1,45,35,5,11,37,12,0,1,4,0,0,0,1470,1008,28,19,4.11,1076,971,1,28,5.41,291,378,1,17,7.79,2,5,0,0,0
38,David Warner,Australia,39,Batsman ,Left Handed Bat,,112,161,110,184,205,159,110,184,8786,6932,3277,6565,12516,7127,2300,4697,335,179,100,126,44.6,45.01,33.44,40.52,70.20,97.27,142.48,139.78,1036,733,338,664,69,130,122,235,13,4,6,11,37,33,28,62,26,22,1,4,3,0,0,0,342,269,1,4,4.72,6,8,0,0,8,0,0,0,0,0,1,2,0,0,0
39,Marnus Labuschagne,Australia,32,Batsman ,Right Handed Bat ,Right-arm legbreak,65,72,1,0,117,64,1,0,4730,1980,2,0,9075,2428,4,0,215,124,2,0,43.8,33.56,2,0,52.13,81.55,50.00,0,527,161,0,0,15,10,0,0,4,4,0,0,25,13,0,0,11,2,0,0,2,0,0,0,1340,838,21,14,3.75,356,387,2,11,6.52,0,0,0,0,0,0,0,0,0,0
40,Joe Burns,Italy,37,Batsman ,Right Handed Bat ,Right-arm medium,23,6,8,0,40,6,8,0,1442,146,271,0,2557,184,195,0,180,69,108,0,36.97,24.33,45.17,0,56.40,79.35,138.98,0,183,16,26,0,14,1,10,0,6,1,1,0,7,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Will Pucovski,Australia,28,Batsman ,Right Handed Bat,,1,0,0,0,2,0,0,0,72,0,0,0,126,0,0,0,62,0,0,0,36,0,0,0,57.15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Travis Head,Australia,32,Batsman ,Left Handed Bat ,Right-arm offbreak,67,79,53,53,114,76,51,52,4653,3007,1335,1556,6677,2844,852,915,175,154,91,102,43.08,42.96,28.4,32.42,69.69,105.74,156.70,170.06,568,348,149,172,41,73,60,78,7,3,2,6,20,17,6,10,12,7,0,1,0,0,0,0,1031,636,14,16,3.7,1203,1152,0,28,5.75,36,56,0,1,9.33,64,120,0,3,11.25
43,Glenn Maxwell,Australia,37,Batting Allrounder ,Right Handed Bat ,Right-arm offbreak,7,149,130,141,14,136,118,135,339,3990,2897,2819,570,3149,1876,1817,104,201,145,95,26.08,33.81,28.97,23.89,59.48,126.71,154.43,155.15,33,382,243,237,7,155,150,161,0,12,5,19,0,23,12,18,1,4,5,0,0,1,0,0,462,341,4,8,4.43,4002,3644,14,77,5.46,1117,1515,0,51,8.14,1022,1413,1,41,8.3
44,Marcus Stoinis,Australia,37,Batting Allrounder ,Right Handed Bat ,Right-arm medium,0,71,87,122,0,64,70,108,0,1495,1416,2242,0,1591,968,1520,0,146,78,124,0,26.7,30.78,28.74,0,93.97,146.29,147.50,0,134,116,181,0,49,66,117,0,5,2,10,0,6,6,10,0,1,0,1,0,0,0,0,0,0,0,0,0,2071,2070,5,48,6,905,1337,1,53,8.86,935,1547,0,46,9.93
45,Moises Henriques,Portugal,39,Batting Allrounder ,Right Handed Bat ,Right-arm fast-medium,4,16,28,62,8,15,25,54,164,117,551,1000,346,192,400,788,81,22,111,74,23.43,9,27.55,27.78,47.40,60.94,137.75,126.91,12,10,35,87,2,0,26,28,2,0,0,2,2,0,3,5,0,0,1,0,0,0,0,0,330,164,12,2,2.98,402,347,1,8,5.18,138,194,0,7,8.43,950,1289,0,42,8.14
46,Cameron Green,Australia,27,Batting Allrounder ,Right Handed Bat ,Right-arm fast-medium,39,37,28,43,62,33,26,42,1920,946,638,1029,3831,1134,420,681,174,118,62,100,34.29,39.42,29,38.11,50.12,83.43,151.91,151.11,210,71,49,84,16,26,36,49,5,2,1,1,8,4,6,4,3,1,0,1,0,0,0,0,2621,1553,70,39,3.56,904,869,2,21,5.77,231,350,0,14,9.09,571,898,0,23,9.44
47,Ashton Agar,Australia,32,Bowler ,Left Handed Bat ,Left-arm orthodox,5,22,49,0,7,18,29,0,195,322,279,0,351,388,278,0,98,48,29,0,32.5,24.77,11.63,0,55.56,82.99,100.36,0,24,28,19,0,3,4,9,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1006,468,36,9,2.79,1098,958,4,21,5.23,1042,1129,2,49,6.5,0,0,0,0,0
48,Daniel Sams,Australia,33,Bowling Allrounder ,Right Handed Bat ,Left-arm fast-medium,0,0,10,16,0,0,7,13,0,0,106,44,0,0,62,44,0,0,41,15,0,0,26.5,4.89,0,0,170.97,100.00,0,0,8,1,0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,305,0,7,10.17,360,523,0,14,8.72
49,Michael Neser,Australia,36,Bowling Allrounder ,Right Handed Bat ,Right-arm fast-medium,5,4,0,1,7,4,0,0,131,11,0,0,257,29,0,0,35,6,0,0,18.71,2.75,0,0,50.98,37.94,0,0,19,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,416,20,22,3.21,220,239,2,3,6.52,0,0,0,0,0,24,62,0,0,15.5
50,Alex Carey,Australia,35,WK-Batsman ,Left Handed Bat,,50,91,42,3,76,83,29,3,2387,2351,267,32,3704,2628,243,29,156,106,37,14,35.1,33.59,11.13,16,64.45,89.46,109.88,110.35,255,224,23,0,17,24,7,1,4,6,2,0,13,13,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Matthew Wade,Australia,38,WK-Batsman ,Left Handed Bat,,36,97,92,15,63,83,68,14,1613,1867,1202,183,3203,2288,896,177,117,100,80,35,29.87,26.3,26.13,13.07,50.36,81.60,134.16,103.39,175,129,95,23,12,34,46,2,3,5,1,0,5,11,3,0,4,1,0,0,0,0,0,0,30,28,1,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Tim Paine,Australia,41,WK-Batsman ,Right Handed Bat ,Right-arm medium,35,35,12,2,57,35,9,2,1535,890,82,10,3355,1257,77,26,92,111,25,8,32.66,27.81,10.25,5,45.76,70.81,106.50,38.47,172,96,7,0,4,6,3,0,4,1,2,0,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Pat Cummins,Australia,33,Bowler ,Right Handed Bat ,Right-arm fast,74,90,57,80,110,59,27,53,1584,537,158,642,3365,703,133,421,64,37,28,66,16.33,14.51,10.53,19.45,47.08,76.39,118.80,152.50,154,43,11,40,35,12,7,44,14,8,4,4,3,0,0,3,0,0,0,0,0,0,0,0,14673,7056,533,322,2.89,4683,4116,46,143,5.27,1254,1556,4,66,7.44,1809,2680,2,87,8.89
54,Nathan Lyon,Australia,38,Bowler ,Right Handed Bat ,Right-arm offbreak,143,29,2,0,183,14,1,0,1705,77,4,0,3380,83,4,0,47,30,4,0,12.82,19.25,0,0,50.45,92.78,100.00,0,211,7,0,0,15,2,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35117,17249,1108,571,2.95,1626,1334,11,29,4.92,30,48,0,1,9.6,0,0,0,0,0
55,Mitchell Starc,Australia,36,Bowler ,Left Handed Bat ,Left-arm fast,107,130,65,57,157,77,21,25,2498,583,98,111,4228,756,100,121,99,52,14,29,20.15,11.66,9.8,9.25,59.09,77.12,98.00,91.74,256,43,4,11,49,14,2,0,17,12,0,4,13,1,0,0,0,0,0,0,0,0,0,0,20313,11626,634,445,3.43,6638,5826,56,247,5.27,1458,1881,2,79,7.74,1179,1727,1,76,8.79
56,Adam Zampa,Australia,34,Bowler ,Right Handed Bat ,Right-arm legbreak,0,121,118,22,0,64,30,5,0,398,80,15,0,618,98,24,0,36,13,7,0,9.95,4.71,3,0,64.41,81.64,62.50,0,34,7,1,0,2,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6309,5810,16,198,5.53,2539,3113,2,153,7.36,467,652,0,31,8.38
57,Sean Abbott,Australia,34,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,29,29,3,0,21,13,3,0,374,50,22,0,388,49,18,0,69,13,14,0,19.68,7.14,7.33,0,96.40,102.05,122.23,0,32,4,1,0,13,1,2,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,1271,9,35,5.73,550,855,1,34,9.33,54,104,0,1,11.56
58,Josh Hazlewood,Australia,35,Bowler ,Left Handed Bat ,Right-arm fast-medium,78,96,60,52,99,38,12,8,575,135,29,19,1310,166,28,30,39,23,13,7,11.5,15,9.67,19,43.90,81.33,103.58,63.34,82,14,2,1,2,3,1,0,12,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,15717,7272,664,303,2.78,4978,3928,65,142,4.73,1348,1680,7,79,7.48,1176,1690,1,72,8.62
59,Andrew Tye,Australia,39,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,7,32,30,0,7,15,13,0,57,83,91,0,48,76,76,0,19,20,25,0,14.25,10.38,10.11,0,118.75,109.22,119.74,0,5,5,6,0,2,4,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,392,1,12,6.08,683,997,1,47,8.76,684,979,0,42,8.59
60,James Pattinson,Australia,36,Bowler ,Left Handed Bat ,Right-arm fast,21,15,4,10,25,8,2,2,417,42,5,15,971,80,3,13,47,13,5,11,26.06,10.5,0,15,42.95,52.50,166.67,115.39,44,2,1,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3963,2133,142,81,3.23,727,681,6,16,5.62,78,104,0,3,8,213,320,0,11,9.01
61,Mitchell Swepson,Australia,32,Bowler ,Right Handed Bat ,Right-arm legbreak,4,3,8,0,5,1,5,0,28,2,32,0,54,2,23,0,15,2,14,0,7,2,0,0,51.86,100.00,139.14,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,458,14,10,3.08,158,161,0,3,6.11,150,204,0,11,8.16,0,0,0,0,0
62,Tim David,Australia,30,Batsman ,Right Handed Bat ,Right-arm offbreak,0,4,74,66,0,4,63,59,0,45,1679,1151,0,53,997,650,0,35,102,70,0,11.25,34.98,32.89,0,84.91,168.41,177.08,0,3,130,76,0,3,109,83,0,0,5,4,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,12,20,0,1,10,164,255,0,5,9.33,6,18,0,0,18
63,Josh Inglis,Australia,31,WK-Batsman ,Right Handed Bat,,5,39,49,16,7,35,46,16,184,969,1033,544,228,962,654,314,102,120,110,85,26.29,30.28,26.49,38.86,80.71,100.73,157.96,173.25,18,102,108,58,1,24,40,28,1,2,4,0,0,6,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
