,Name,Country,Age,Role,Batting style,Bowling style,Test Matches,ODI Matches,T20 Matches,Ipl Matches,Test Innings,ODI Innings,T20 Innings,IPL Innings,Test Runs,ODI Runs,T20 Runs,IPL Runs,Test Balls,ODI Balls,T20 Balls,IPL Balls,Test Highest,ODI Highest,T20 Highest,IPL Highest,Test Average,ODI Average,T20 Average,IPL Average,Test Strikerate,ODI Strikerate,T20 Strikerate,IPL Strikerate,Test Fours,ODI Fours,T20 Fours,IPL Fours,Test Sixes,ODI Sixes,T20 Sixes,IPL Sixes,Test Ducks,ODI Ducks,T20 Ducks,IPL Ducks,Test 50s,ODI 50S,T20 50s,IPL 50s,Test 100s,ODI 100s,T20 100s,IPL 100s,Test 200s,ODI 200s,T20 200s,IPL 200s,Test bowl balls,Test bowl runs,Test Maidens,Test Wickets,Test Economy,ODI bowl balls,ODI bowl runs,ODI Maidens,ODI Wickets,ODI Economy,T20 bowl balls,T20 bowl runs,T20 Maidens,T20 Wickets,T20 Economy,IPL bowl balls,IPL bowl runs,IPL Maidens,IPL Wickets,IPL Economy
566,Geert,Netherlands,42,Bowler ,Right Handed Bat ,Right-arm medium,0,6,1,0,0,4,0,0,0,25,0,0,0,54,0,0,0,14,0,0,0,12.5,0,0,0,46.30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,111,1,3,4.11,0,0,0,0,0,0,0,0,0,0
567,Henk,Netherlands,49,Bowler ,Left Handed Bat ,Left-arm medium,0,11,4,0,0,9,1,0,0,67,0,0,0,183,1,0,0,23,0,0,0,8.38,0,0,0,36.62,0.00,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,149,1,5,4.91,9,12,0,0,8,0,0,0,0,0
568,Pieter Seelaar,Netherlands,38,Bowling Allrounder ,Right Handed Bat ,Left-arm orthodox,0,57,75,0,0,39,46,0,0,347,591,0,0,593,532,0,0,43,96,0,0,11.97,17.38,0,0,58.52,111.10,0,0,26,43,0,0,5,12,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2609,2035,19,57,4.68,1132,1290,4,58,6.84,0,0,0,0,0
569,Virat Kohli,India,37,Batsman ,Right Handed Bat ,Right-arm medium,123,311,125,281,210,299,117,273,9230,14797,4188,9218,16608,15771,3056,6859,254,183,122,113,46.85,58.72,48.7,40.08,55.58,93.83,137.05,134.40,1027,1376,369,830,30,169,124,312,15,18,7,12,31,77,38,67,30,54,1,9,7,0,0,0,175,84,2,0,2.88,662,680,1,5,6.16,152,204,0,4,8.05,251,368,0,4,8.8
570,Samit Patel,England,41,Batting Allrounder ,Right Handed Bat ,Left-arm orthodox,6,36,18,0,9,22,14,0,151,482,189,0,338,517,173,0,42,70,67,0,16.78,32.13,15.75,0,44.68,93.24,109.25,0,16,37,17,0,1,12,5,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,858,421,23,7,2.94,1187,1091,4,24,5.51,252,321,0,7,7.64,0,0,0,0,0
571,Kyle Coetzer,Scotland,42,Batsman ,Right Handed Bat ,Right-arm fast-medium,0,88,69,0,0,87,68,0,0,3192,1495,0,0,3874,1254,0,0,156,89,0,0,38.93,22.65,0,0,82.40,119.22,0,0,412,158,0,0,40,48,0,0,8,4,0,0,21,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,270,252,3,2,5.6,66,71,0,5,6.45,0,0,0,0,0
572,Calum MacLeod,Scotland,37,Batting Allrounder ,Right Handed Bat ,Right-arm fast-medium,0,87,64,0,0,86,61,0,0,3024,1239,0,0,3749,1115,0,0,175,74,0,0,38.28,23.83,0,0,80.67,111.13,0,0,313,107,0,0,35,23,0,0,9,8,0,0,13,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,968,836,4,11,5.18,180,220,0,5,7.33,0,0,0,0,0
573,Leon Johnson,West Indies,38,Bowler ,Left Handed Bat ,Left-arm orthodox,9,6,0,0,16,6,0,0,403,98,0,0,832,175,0,0,66,51,0,0,25.19,16.33,0,0,48.44,56.00,0,0,55,10,0,0,1,2,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,24,9,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,Brendan Nash,West Indies,48,Batsman ,Left Handed Bat ,Left-arm medium,21,9,0,0,33,7,0,0,1103,104,0,0,2548,141,0,0,114,39,0,0,33.42,26,0,0,43.29,73.76,0,0,130,11,0,0,3,1,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,492,247,13,2,3.01,294,224,3,5,4.57,0,0,0,0,0,0,0,0,0,0
575,Harvir Baidwan,Canada,38,Batting Allrounder ,Right Handed Bat ,Right-arm medium,0,32,17,0,0,22,11,0,0,220,54,0,0,339,52,0,0,33,21,0,0,14.67,6,0,0,64.90,103.85,0,0,13,4,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,1348,13,44,5.21,323,411,1,27,7.63,0,0,0,0,0
